,Player id,Player name,team_name,label,date,matchId
0,607496,O. Óskarsson,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
1,527103,M. Mattsson,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
2,335381,K. Diks,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
3,262121,D. Vavro,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
4,51144,V. Claesson,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
5,289123,W. Dammers,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
6,0,,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
7,14828,B. Kopplin,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
9,54896,M. Elyounoussi,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
10,0,,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
12,51188,P. Carlgren,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
15,579397,E. Jelert,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
18,56625,P. Ankersen,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
25,612346,W. Clem,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
26,476351,O. Olsen,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
35,431007,S. Nordli,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
49,593207,E. Achouri,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
60,833655,M. Fuseini,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
64,493666,J. Björkengren,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
66,56124,D. Høegh,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
67,619567,M. Enggård,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
69,507530,S. Odey,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
80,605985,L. Coulibaly,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
107,406041,K. Grabara,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
1386,56441,L. Lerager,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
1462,380839,F. Lauenborg,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
1465,587147,O. Zandén,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
1509,56145,R. Falk,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
1533,338639,J. Larsson,København,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
1678,450047,E. Agyiri,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
1698,347513,H. Andersson,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
1730,544940,M. Brajanac,Randers,"København - Randers, 2 - 1","May 31, 2024 at 7:00:00 PM GMT+2",5584052
1859,471107,A. Şimşir,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1860,57347,S. Ingason,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1861,56394,H. Dalsgaard,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1862,563514,M. Nielsen,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1863,234373,J. Gemmer,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1864,452592,O. Sørensen,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1865,56474,M. Spelmann,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1867,271764,N. Geertsen,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1868,270136,C. Jakobsen,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1869,449064,M. Lindberg,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1870,485562,E. Martínez,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1876,0,,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1880,381945,J. Juninho,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1884,0,,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1886,475110,G. Isaksen,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1894,330539,Matti Olsen,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1896,296672,Paulinho,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1900,134997,K. Olsson,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1903,56017,D. Stenderup,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1913,449407,L. Qamili,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1917,483429,A. Iljazovski,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1920,603240,Cho Gue-Sung,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
1946,56038,J. Lössl,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
2037,471964,F. Đukić,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
3153,562692,A. Smed,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
3162,605625,A. Gigović,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
3217,680720,M. Papuga,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
3222,562500,M. Fredslund,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
3256,490458,S. Kaba,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
3267,612815,M. Andreasen,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
3270,612342,J. Adjei-Broni,Hvidovre,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
3432,505811,E. Chilufya,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
3521,446138,C. Rigon Matos,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
3530,475116,N. Dyhr,Midtjylland,"Midtjylland - Hvidovre, 1 - 0","July 21, 2023 at 7:00:00 PM GMT+2",5465917
3654,37948,A. Finnbogason,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3655,56365,M. Rømer,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3656,606703,L. Hey,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3657,56441,L. Lerager,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3658,262121,D. Vavro,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3659,0,,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3660,56095,A. Bjelland,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3661,535617,M. Kikkenborg,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3664,338639,J. Larsson,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3667,406041,K. Grabara,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3669,135150,A. Cornelius,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3671,224165,F. Gytkjær,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3672,594473,T. Storm,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3674,399781,S. Magnússon,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3675,579409,V. Lund,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3677,351054,K. Finnsson,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3685,335381,K. Diks,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3688,612346,W. Clem,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3691,56145,R. Falk,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3696,284716,D. Gonçalves,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3703,246509,P. Gregor,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3721,523123,T. Chukwuani,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3742,579397,E. Jelert,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
3744,0,,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
4908,551993,C. Winther,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
4910,38229,B. Hamalainen,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
4912,738389,W. Kumado,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
5013,679438,R. Bardghji,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
5070,586625,I. Johannesson,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
5157,281253,R. Corlu,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
5195,579435,Z. Dalügge,Lyngby,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
5196,624737,O. Højlund,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
5200,624742,E. Højlund,København,"Lyngby - København, 1 - 2","July 22, 2023 at 4:00:00 PM GMT+2",5465918
5295,361096,M. Duelund,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5296,289668,F. Tingager,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5297,56273,P. Mortensen,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5298,7302,Raúl Albentosa,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5300,447762,N. Trott,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5301,579415,T. Kristensen,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5302,530524,G. Onugkha,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5304,0,,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5305,50800,M. Albornoz,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5306,347591,F. Beijmo,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5307,562564,K. Kirkegaard,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5308,454213,T. Bech,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5311,56092,J. Hansen,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5314,516196,T. Mølgaard,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5316,443851,G. Links,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5317,190470,N. Poulsen,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5327,136968,G. Rólantsson,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5333,451410,M. Emil Madsen,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5341,569600,O. Provstgaard,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5359,603772,T. Lauritsen,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5361,266532,E. Ofori,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5368,135789,D. Kolinger,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5388,556015,M. Juwara,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
5573,0,,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
6437,506853,M. Drammeh,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
6567,400354,M. Anderson,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
6580,633197,E. Kahl,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
6662,505392,M. Elvius,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
6678,367624,J. Serra,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
6679,604144,M. Knudsen,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
6701,15083,R. Sukuta-Pasu,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
6717,521853,L. Hetemi,Vejle,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
6748,624765,A. Daghim,AGF,"AGF - Vejle, 1 - 0","July 23, 2023 at 2:00:00 PM GMT+2",5465919
6937,431007,S. Nordli,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6938,612340,W. Kaastrup,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6939,578582,A. Adelgaard,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6940,609365,F. Bundgaard,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6941,623240,C. Nouck,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6942,603153,R. Al Hajj,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6943,619567,M. Enggård,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6944,507530,S. Odey,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6946,272406,S. Köhler,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6948,0,,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6950,338649,M. Buya Turay,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6952,584117,F. Tongya,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6958,269701,M. Egho,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6960,56297,B. Paulsen,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6961,257044,L. Owusu,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6964,678648,T. Slotsager,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6968,51188,P. Carlgren,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6970,347513,H. Andersson,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6972,484544,A. Manneh,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
6990,374025,M. Pedersen,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
7004,56068,M. Hansen,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
7034,0,,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
7051,289123,W. Dammers,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
7076,14828,B. Kopplin,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
8104,861913,M. Ubandoma,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
8109,56138,B. Kadrii,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
8179,279690,E. Babayan,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
8240,569151,L. Kjerrumgaard,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
8290,620743,L. Deedson,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
8311,449750,T. Klysner,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
8464,620931,M. Ejdum,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
8493,170738,S. Väisänen,OB,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
8517,577942,J. Kudsk,Randers,"OB - Randers, 2 - 2","July 23, 2023 at 4:00:00 PM GMT+2",5465920
8647,576284,T. Adamsen,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8648,449374,S. Tengstedt,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8649,347364,M. Brink,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8650,577998,A. Busch,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8651,516745,L. Engel,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8653,56378,N. Larsen,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8654,288618,T. Salquist,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8655,514807,M. Kvistgaarden,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8656,0,,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8657,449721,O. Sonne,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8661,562633,N. Vallys,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8665,363625,B. Riveros,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8666,676912,H. Heggheim,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8669,519629,F. Alves,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8670,334043,M. Greve,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8671,54485,O. Omoijuanfo,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8673,26652,D. Wass,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8674,449139,F. Carlsen,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8675,450074,A. Klynge,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8690,69374,J. Radošević,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8692,372289,R. Lauritsen,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8694,56223,T. Mikkelsen,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8714,450799,P. Mattsson,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
8773,0,,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
9936,56390,K. Kusk,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
9986,496678,H. Evjen,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
10245,521253,Y. Salech,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
10255,628964,S. Sebulonsen,Brøndby,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
10323,404162,C. McCowatt,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
10475,523107,A. Lind,Silkeborg,"Silkeborg - Brøndby, 1 - 2","July 23, 2023 at 6:00:00 PM GMT+2",5465921
10600,519618,M. Søndergaard,Viborg,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10601,444298,J. Bonde,Viborg,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10602,619908,A. Gaaei,Viborg,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10603,495728,M. Frese,Nordsjælland,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10604,523395,A. Ementa,Viborg,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10605,605991,M. Diomandé,Nordsjælland,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10607,334056,N. Bürgy,Viborg,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10610,436881,D. Anyembe,Viborg,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10611,448997,M. Westergaard,Viborg,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10612,525650,J. Jensen-Abbew,Nordsjælland,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10613,651679,Renato Júnior,Viborg,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10614,568962,I. Osman,Nordsjælland,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10615,239006,J. Tverskov,Nordsjælland,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10616,817448,E. Nuamah,Nordsjælland,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10619,0,,Nordsjælland,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10626,234377,M. Ingvartsen,Nordsjælland,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10638,538640,L. Lund,Viborg,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10641,638476,I. Said,Viborg,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10653,224154,A. Hansen,Nordsjælland,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10668,636225,D. Svensson,Nordsjælland,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10671,544941,O. Villadsen,Nordsjælland,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10676,55955,K. Hansen,Nordsjælland,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
10678,449421,O. Bundgaard,Viborg,"Nordsjælland - Viborg, 4 - 1","July 24, 2023 at 7:00:00 PM GMT+2",5465922
